author,content,timestamp,message_id
notonft,bud i was trying to do something else,2023-06-20T20:35:36.040000+00:00,1120814229524598888
notonft,Sometimes Jake trades. Let the man cook.,2023-06-20T19:53:45.305000+00:00,1120803698738733117
notonft,Wow $50 turtles it’s pretty good deal,2023-06-20T18:26:30.980000+00:00,1120781744388460706
notonft,I think you missed point of this stuff,2023-06-20T16:41:38.393000+00:00,1120755351365615687
notonft,If you are getting into tourist area they will get you,2023-06-20T14:35:10.363000+00:00,1120723524861038642
notonft,It’s really affordable if you are doing local things,2023-06-20T14:34:58.350000+00:00,1120723474474868848
notonft,Starlight and I tried to spend all project funds in Istanbul but after a week we only managed spend $10.27 usdc. Turns out lira is the ultimate shitcoin.,2023-06-20T14:31:11.397000+00:00,1120722522565001277
notonft,I meant locking is best for the project ruggers idc about holders,2023-06-20T14:30:16.960000+00:00,1120722294239670384
notonft,Locking things away from people; is the best thing for them,2023-06-20T14:28:01.601000+00:00,1120721726502883398
notonft,Soon,2023-06-20T14:23:27.641000+00:00,1120720577431359588
notonft,Her name is Gofak Urself,2023-06-20T14:18:18.883000+00:00,1120719282406432858
notonft,soon bud,2023-06-20T13:52:00.719000+00:00,1120712663106867211
notonft,Nunya Bidness,2023-06-20T13:50:17.878000+00:00,1120712231760441465
notonft,,2023-06-20T13:31:31.581000+00:00,1120707507728425162
notonft,hi,2023-06-20T13:29:25.894000+00:00,1120706980558946456
notonft,salami foundation,2023-06-20T13:11:04.827000+00:00,1120702362349223948
notonft,let me cook,2023-06-20T13:09:04.449000+00:00,1120701857447292938
notonft,bud im busy making real business since i found out solana foundation is fake,2023-06-20T13:08:59.106000+00:00,1120701835037134978
notonft,maybe Fang's bucket has a challenger...,2023-06-20T13:08:25.035000+00:00,1120701692132982835
notonft,"wow, how accurate",2023-06-20T13:08:17.704000+00:00,1120701661384560680
notonft,And also chair.,2023-06-20T12:40:28.358000+00:00,1120694659639935066
notonft,No bud it’s fangs food bucket and also chair.,2023-06-20T12:39:54.022000+00:00,1120694515624312973
notonft,Turtles HQ Istanbul. It even came with a bucket for Fang.,2023-06-20T12:39:10.004000+00:00,1120694330999443496
notonft,"Ah, I see! Turkish rugs are truly a work of art. They are known for their intricate designs and high quality materials. I'm sure rugger enthusiasts would appreciate the beauty and craftsmanship that goes into creating a Turkish rug. Do you have any other questions related to Turkish rugs or rugger? Let's shell it out!",2023-06-20T10:57:23.675000+00:00,1120668719199289344
notonft,Gm,2023-06-20T09:12:27.384000+00:00,1120642310640775178
notonft,"you can’t spell PASS without…

Fang",2023-06-20T07:08:40.736000+00:00,1120611161021358151
notonft,Bully on Levi morning is bullish,2023-06-20T05:47:39.470000+00:00,1120590771393929247
notonft,Gm,2023-06-20T05:47:26.215000+00:00,1120590715798442036
notonft,Wow,2023-06-20T05:46:49.557000+00:00,1120590562043629589
notonft,,2023-06-20T05:21:05.327000+00:00,1120584085073580042
notonft,These are my fav,2023-06-20T05:21:05.024000+00:00,1120584083802697768
notonft,I got some good ones I think but not sure,2023-06-20T05:18:28.056000+00:00,1120583425431175308
notonft,Nice,2023-06-20T05:12:16.433000+00:00,1120581866731343974
notonft,yeah frakt banx,2023-06-20T04:39:15.802000+00:00,1120573559362814023
notonft,,2023-06-20T04:29:40.001000+00:00,1120571144278388746
notonft,turtles is a black project slush fund,2023-06-19T20:55:15.766000+00:00,1120456789788467301
notonft,you got an orange B,2023-06-19T20:39:12.812000+00:00,1120452750866661447
notonft,A literal feast she been lying to you all,2023-06-19T19:05:08.422000+00:00,1120429076579111127
notonft,Starlight living large in Turkey,2023-06-19T19:04:58.662000+00:00,1120429035642695710
notonft,I know right,2023-06-19T19:04:51.377000+00:00,1120429005087199313
notonft,Price can’t go down if coin turned off. Nobody thought of this before.,2023-06-19T18:15:23.786000+00:00,1120416558108377168
notonft,Reeeeeeeeeeeeeeeeee,2023-06-19T18:08:16.570000+00:00,1120414766234611883
notonft,It’s called “joke fee”,2023-06-19T18:05:00.611000+00:00,1120413944323002388
notonft,At my expense,2023-06-19T18:04:53.609000+00:00,1120413914954486031
notonft,You can make lot of jokes,2023-06-19T18:04:49.983000+00:00,1120413899745927178
notonft,No bud I already took money from you it’s ok,2023-06-19T18:04:45.799000+00:00,1120413882196955236
notonft,Don’t worry bud you don’t have to pay to reveal the merch,2023-06-19T18:02:41.662000+00:00,1120413361528651796
notonft,“We”? Mfer you will be lucky if we allow you to buy this stuff,2023-06-19T17:59:30.030000+00:00,1120412557765787819
notonft,Way better.,2023-06-19T17:58:48.337000+00:00,1120412382892666970
notonft,It’s better than anything you will buy in a store by you,2023-06-19T17:55:54.849000+00:00,1120411655231246528
notonft,Tbh it’s weird we are doing like professional things for 100 people,2023-06-19T17:55:35.454000+00:00,1120411573882736741
notonft,Fang size. I think she is 5’2”,2023-06-19T17:54:10.469000+00:00,1120411217429790760
notonft,,2023-06-19T17:53:55.083000+00:00,1120411152896245760
notonft,Let me show something in your size,2023-06-19T17:52:58.746000+00:00,1120410916601725028
notonft,We will try to make it affordable bud,2023-06-19T17:52:49.858000+00:00,1120410879322767482
notonft,Watching your wallet bud I will see how much you love,2023-06-19T17:50:49.485000+00:00,1120410374441816144
notonft,Sck me,2023-06-19T17:48:30.164000+00:00,1120409790087172146
notonft,You did great,2023-06-19T17:43:13.834000+00:00,1120408463302987856
notonft,,2023-06-19T17:43:11.982000+00:00,1120408455535149208
notonft,Thanks for the hard work today at the turtles photo shoot bud,2023-06-19T17:42:55.956000+00:00,1120408388317225040
notonft,Also send headshot selfie so she can show it,2023-06-19T17:34:16.362000+00:00,1120406208982032485
notonft,Just dm starlight she will arrange. If she don’t answer just keep sending dm about this,2023-06-19T17:33:38.024000+00:00,1120406048180813906
notonft,Actually I think you might be beyond this help bud,2023-06-19T17:31:38.133000+00:00,1120405545321496647
notonft,Did you have interest in passport related marriage?,2023-06-19T17:31:04.925000+00:00,1120405406037053541
notonft,Maybe if she hear you have ordinals turtle bud,2023-06-19T17:30:43.596000+00:00,1120405316576747521
notonft,,2023-06-19T17:20:03.053000+00:00,1120402629944684656
notonft,,2023-06-19T17:18:55.145000+00:00,1120402345117884468
notonft,Lot of ppl quitting for good is bullish,2023-06-19T16:59:22.725000+00:00,1120397427631988736
notonft,Bud. Get out of the house pls,2023-06-19T16:54:48.274000+00:00,1120396276501069937
notonft,Then be informed I'm deeply in love with you and would go in debt just to get one kiss from you,2023-06-19T16:52:44.010000+00:00,1120395755300065350
notonft,True,2023-06-19T16:51:27.926000+00:00,1120395436180656189
notonft,The chat isn’t what it used to be 😓,2023-06-19T16:20:15.003000+00:00,1120387580572221500
notonft,Nobi no more! 👊,2023-06-19T15:52:03.731000+00:00,1120380486863306802
notonft,Even fang showed up to model guys,2023-06-19T15:48:36.166000+00:00,1120379616272580698
notonft,You have _how_ many Turtles NFTs???,2023-06-19T15:32:48.492000+00:00,1120375641439744121
notonft,👀,2023-06-19T14:27:27.855000+00:00,1120359197096296478
notonft,Bro. Did we get you old ass role?,2023-06-19T11:33:53.068000+00:00,1120315514313515028
notonft,"Lot of effort went into it, but it didn’t matter bc it looked like cold sores",2023-06-19T10:49:47.963000+00:00,1120304419939041370
notonft,gm,2023-06-19T10:24:37.914000+00:00,1120298086334480495
notonft,"the merch drop was decent, but it was pricey and they never did a follow up drop so clearly they didnt make enoug money from it to matter to them",2023-06-19T10:13:28.668000+00:00,1120295279313289287
notonft,"poverty mentality, they never wanted to spend money on marketing or making product, eventually just spent all the money it raised i think",2023-06-19T10:12:59.426000+00:00,1120295156663455764
notonft,no idea bud,2023-06-19T09:50:54.241000+00:00,1120289598434721813
notonft,Sorry to read bud,2023-06-19T09:44:06.537000+00:00,1120287888400187503
notonft,there are 900 active traders on MEXC,2023-06-19T09:43:14.970000+00:00,1120287672112529418
notonft,https://tenor.com/view/lion-king-simba-roar-cute-lion-cub-gif-17303165,2023-06-19T08:39:30.754000+00:00,1120271632188051576
notonft,More of cat ass guy,2023-06-19T08:38:58.061000+00:00,1120271495063666818
notonft,Gm bud,2023-06-19T08:34:47.364000+00:00,1120270443564245125
notonft,Green is the new orange.,2023-06-19T05:18:11.453000+00:00,1120220967927554128
notonft,its always the same with anything,2023-06-19T04:26:29.710000+00:00,1120207958274494474
notonft,"its greed game, once something like btc pumps 2x-4x, greed cycle kicks in to find the next thing that goes 10x-20x, and then the thing that will go 100x",2023-06-19T04:26:05.931000+00:00,1120207858538123266
notonft,"there will be new shit things next cycle on solana. shitgames, shitdapps, you wont see it coming until its here",2023-06-19T04:25:03.947000+00:00,1120207598558380083
notonft,no bud i dont,2023-06-19T04:24:16.484000+00:00,1120207399484133396
notonft,we need a ton of dumb money coming to solana,2023-06-19T04:24:06.521000+00:00,1120207357696299088
notonft,"let btc go, alts will be dead, then the euphoria and dumb money starts to flow",2023-06-19T04:23:49.540000+00:00,1120207286472806440
notonft,it will happen again,2023-06-19T04:23:14.896000+00:00,1120207141165346927
notonft,alts,2023-06-19T04:23:12.125000+00:00,1120207129542918194
notonft,eth,2023-06-19T04:23:11.173000+00:00,1120207125549949030
notonft,btc,2023-06-19T04:23:09.735000+00:00,1120207119518531584
notonft,its same cycle,2023-06-19T04:23:06.308000+00:00,1120207105144660072
notonft,orange people,2023-06-19T03:58:55.186000+00:00,1120201018697863298
notonft,gm,2023-06-19T03:58:50.684000+00:00,1120200999815090237
notonft,Professor Ordinal,2023-06-18T19:42:54.979000+00:00,1120076195342585866
notonft,why you think im here bud? buying turkish bitcoin,2023-06-18T15:20:57.877000+00:00,1120010273038798888
notonft,Comrade Nouns,2023-06-18T14:20:43.866000+00:00,1119995114778005574
notonft,if you guys want to otc you can (for $50 in tx fee) <a:kek:900024661969096744>,2023-06-18T14:19:10.389000+00:00,1119994722707058849
notonft,yeah,2023-06-18T14:10:10.094000+00:00,1119992456545579082
notonft,"people are viewing outside their wallet, and ordinals dont look good there",2023-06-18T14:09:33.120000+00:00,1119992301465383012
notonft,very handsome!,2023-06-18T13:59:06.220000+00:00,1119989672056205352
notonft,they are all hand picked trait combos,2023-06-18T13:58:56.767000+00:00,1119989632407453757
notonft,always nice i guess,2023-06-18T10:08:30.531000+00:00,1119931640970481695
